10	100225993	-
10	100229624	-
10	100347247	+
10	100373843	+
10	100376883	+
10	100529806	-
10	101040893	+
10	101229529	+
10	101588291	+
10	101783395	-
10	102394124	+
10	102395937	+
10	102461428	+
10	102645060	+
10	102699398	-
10	102854286	+
10	103174960	-
10	103396453	-
10	103661428	-
10	103661498	-
10	103688634	-
10	104254876	+
10	1056813	+
10	1056822	+
10	107033183	-
10	110008050	+
10	110008276	+
10	110209457	+
10	110304955	-
10	110304972	-
10	110497867	+
10	110497871	+
10	110567749	+
10	110871857	+
10	112183748	-
10	112950266	+
10	112950356	+
10	112950365	+
10	114786668	+
10	117365561	-
10	117542464	-
10	118342273	-
10	119178797	-
10	119596982	-
10	119596984	-
10	119651422	+
10	119651440	+
10	119892707	+
10	121927325	-
10	12195811	-
10	12196274	+
10	121975174	-
10	122019272	+
10	122112753	+
10	122879530	-
10	122879736	+
10	122954458	+
10	123154370	+
10	12349579	+
10	124418963	-
10	124791773	-
10	124801803	+
10	124801806	+
10	125823282	-
10	125896452	-
10	125896475	-
10	126905452	+
10	128126474	-
10	13161589	+
10	13161590	+
10	131981984	-
10	132249086	-
10	132537822	+
10	133373341	-
10	13586952	+
10	13586999	+
10	13866290	-
10	14572369	-
10	14838374	+
10	14960019	+
10	15860519	-
10	16484475	+
10	17229404	+
10	18651626	-
10	18659396	+
10	18659398	+
10	21029163	+
10	21173312	-
10	21293034	-
10	21293036	-
10	21496820	-
10	21518263	-
10	22003698	-
10	26704721	+
10	27120475	-
10	27145451	-
10	27240516	-
10	27242060	-
10	27745849	-
10	28533026	-
10	30434646	+
10	30941647	-
10	3109434	+
10	31881522	-
10	32056406	-
10	32232213	-
10	32346674	+
10	32583148	+
10	32935543	-
10	32935544	-
10	32982551	+
10	33334542	-
10	34405966	-
10	35127001	+
10	35195105	+
10	35336420	-
10	3785231	-
10	38011151	+
10	38094477	+
10	42638609	-
10	42782776	+
10	43409155	-
10	45972503	+
10	46398411	+
10	46526892	+
10	46784775	-
10	46786626	-
10	5003825	-
10	5003835	-
10	5003837	-
10	5003839	-
10	5018017	-
10	50623934	-
10	50624560	-
10	5094380	+
10	5094429	+
10	5094433	+
10	5094444	+
10	5094449	+
10	5094454	+
10	5094461	+
10	5094474	+
10	50991121	+
10	5132696	-
10	5196897	+
10	52316183	+
10	52316228	+
10	52455160	-
10	5284581	-
10	53894403	-
10	5684861	+
10	5813258	-
10	5813480	-
10	59906494	-
10	60737378	+
10	60944726	-
10	60944750	-
10	6239550	+
10	6279811	+
10	63133312	+
10	63269214	-
10	63607271	+
10	6737461	+
10	6737492	+
10	6779631	+
10	67838135	-
10	68106074	+
10	68106077	+
10	68471931	-
10	68471956	-
10	68527452	-
10	68600308	+
10	68956182	+
10	68988773	+
10	68988816	+
10	69088138	+
10	69124258	+
10	69180267	+
10	69180463	+
10	69451418	+
10	69451515	+
10	70109067	+
10	70132850	-
10	70146689	-
10	70170472	-
10	70217925	-
10	70884026	-
10	70885214	-
10	71851279	-
10	71851285	-
10	71851290	-
10	71970558	+
10	72213304	-
10	72216225	-
10	72273941	+
10	72274037	+
10	72274193	+
10	72275907	+
10	72626094	-
10	73096814	-
10	73247233	-
10	73626072	+
10	73730472	-
10	73744258	-
10	73746850	+
10	73772334	+
10	73782321	+
10	73998127	+
10	74176790	+
10	74224472	+
10	75210179	+
10	75210675	+
10	75235707	-
10	75236066	-
10	75401390	-
10	77195067	-
10	77637535	-
10	77637545	-
10	7787959	-
10	7797084	+
10	78029540	-
10	78033887	+
10	78035353	+
10	7818526	+
10	79068930	+
10	79347439	+
10	80079246	+
10	80489241	+
10	8054650	+
10	8054676	+
10	84139562	+
10	86521732	-
10	86521748	-
10	86521762	-
10	87094821	-
10	87094889	-
10	87096939	+
10	87342462	-
10	87818193	-
10	87863588	+
10	87863640	+
10	88990549	+
10	88990593	+
10	89251803	-
10	89327912	+
10	89643914	-
10	89701635	+
10	90003730	+
10	91798380	+
10	91923795	+
10	91923798	+
10	93076571	+
10	93482234	-
10	93496635	+
10	93702562	-
10	94038361	+
10	94362910	-
10	95290976	-
10	95291035	-
10	95656659	-
10	95656679	-
10	95693871	-
10	97401316	-
10	97446099	-
10	97446143	+
10	97446149	+
10	97498938	+
10	97605888	+
10	97640699	+
10	97649425	+
10	97687283	-
10	988446	+
10	988485	+
10	99430660	-
10	99782664	+
10	99782690	+
1	1000123	-
1	100132998	-
1	100266269	+
1	10033159	+
1	10033213	+
1	100894984	+
1	1013469	+
1	1020327	+
1	103559155	+
1	10399670	+
1	107140957	+
1	107688364	-
1	108992257	+
1	109090656	-
1	109090792	+
1	109090891	-
1	109164945	+
1	109197592	+
1	109296984	-
1	109426416	-
1	109546543	+
1	109619886	+
1	109740316	-
1	109740345	-
1	109984731	+
1	109984734	+
1	109984809	+
1	110004099	+
1	110034609	+
11	101914828	-
1	110210895	+
11	102317518	+
11	103092206	-
1	110339049	-
1	110339052	-
1	110339128	-
1	110391004	-
1	110407786	-
11	104164178	-
11	10456307	+
11	10541147	-
1	11060044	-
11	106011014	-
11	106022214	-
11	106077335	-
11	106077673	+
11	107457819	-
11	107457825	-
11	10751305	+
11	107859174	-
11	108222656	-
11	108497804	-
11	10858036	-
11	10858259	+
11	108593644	-
11	10885846	-
11	108929586	+
1	11099842	-
11	110429921	+
1	111140211	+
1	111140251	+
11	111616251	+
11	111911972	-
11	111936964	+
11	112025370	+
11	112025470	+
11	112086810	+
11	112086883	+
11	112164062	-
11	112164117	-
11	114296449	+
11	114296450	+
11	114400372	-
1	111449503	+
11	115504467	-
11	115950783	-
11	117179116	+
1	111755680	+
1	111755702	+
11	118534741	+
11	118566046	-
11	118581301	+
11	118581344	+
11	118690208	-
11	118748365	-
11	118786500	-
11	119018826	+
11	119094612	-
11	119095465	-
11	119102177	-
11	119729168	-
11	120337632	+
11	121024040	+
11	121292783	+
11	12138428	+
11	121553087	+
11	122180497	-
11	123454643	+
11	124876790	+
11	125102761	-
1	112544139	-
11	125569352	+
11	125575278	+
11	125592458	-
11	125592904	+
11	125595959	+
11	125625743	+
11	125626519	+
11	125887681	+
11	125887700	+
11	126211752	+
11	126304299	-
1	112675000	+
11	126992399	+
1	11273503	+
1	11273510	+
11	128508512	-
11	128905996	-
11	128905999	-
1	112956195	-
1	112956224	-
1	112956353	-
1	112957684	+
11	130068157	+
11	130069894	+
11	130314408	-
11	130315084	+
11	134069042	+
11	134253320	-
1	113758085	-
1	113759292	-
1	113904810	-
1	113905368	+
11	14337317	-
11	14520402	-
1	114780666	-
11	14892256	-
1	116111685	+
1	116373174	+
1	116571055	-
11	16738678	+
11	17013979	+
11	17013983	+
1	117161947	-
11	17276766	+
11	1759004	-
1	117929602	-
1	117929754	+
11	18322100	-
11	18394596	+
11	18526788	-
1	11908238	+
1	119140764	+
11	19240920	-
1	119711936	+
11	20035939	+
1	120176408	-
11	20364152	+
11	20364156	+
11	20387698	+
11	20574136	+
1	120850858	-
11	208825	+
11	2138388	-
11	22829771	-
1	1231981	-
1	1231983	-
1	1232279	+
1	1232283	+
1	12356329	+
11	2400656	+
11	247347	+
1	12618002	-
11	26994096	+
11	27363196	-
11	27472723	-
11	27891092	-
11	28108125	-
11	28110290	+
11	28110291	+
11	2884305	-
11	2903276	+
11	2929384	-
11	2979232	-
11	3040923	-
11	308153	+
11	308159	+
11	308177	+
11	3092164	-
11	30992544	-
11	31369876	+
11	31369891	+
11	31370726	+
11	32091098	+
11	32091131	+
11	34052300	+
11	34105602	+
11	34105702	+
11	34441277	+
11	34642137	+
11	34890952	-
11	34897784	-
11	35662747	+
11	36280789	-
11	36289383	-
1	1375191	-
11	407166	-
11	4094830	+
11	43680807	+
11	44310066	-
1	144412576	+
1	144412601	+
1	144461253	-
1	145826485	+
1	145927618	+
1	145958050	-
1	145996076	-
1	146387448	+
11	46617663	+
11	46821205	-
11	47023392	+
11	47215006	+
11	47215071	+
1	147242765	+
11	47269819	+
11	47355540	-
11	47425922	-
11	47553140	-
11	47579012	+
11	47639015	-
1	147670470	-
11	47847902	-
1	148038813	-
11	48109574	+
1	148522703	+
1	148952138	+
1	14924109	+
1	149812370	-
1	149861159	-
1	149886682	-
1	149886918	+
1	149887993	-
1	149936734	-
1	150235970	-
1	150268979	-
1	150293881	+
1	150364809	+
1	150487489	+
1	150629596	-
1	150697184	-
1	151006803	-
1	151165344	-
1	151165872	-
1	151166117	+
1	151166128	+
1	151281673	-
1	151281897	-
1	151327669	-
1	15152503	+
1	151768139	-
1	151790856	+
1	151790911	+
1	151993891	-
1	152036972	-
1	153535991	-
1	153536012	-
1	153545775	-
1	153545806	-
1	153549078	-
1	153567065	-
1	153609036	-
1	153634433	-
1	153658679	+
1	153728073	+
1	153963550	-
1	153977696	-
1	153977703	-
1	153986283	-
1	153995610	+
1	154220560	-
1	154220916	+
1	154272651	+
1	154608157	-
1	154961731	-
1	154970710	-
1	154974759	+
1	154975086	+
